corpus,layer,head,gqa_group,region,block_size,top_k,condition,metric,mean,documents,ci_low,ci_high
hotpotqa,0,0,0,local,32,4,content_vs_pronoun,spearman,0.9587331995705393,4,0.9452373552536617,0.9722290438874167
hotpotqa,0,0,0,local,32,4,content_vs_pronoun,top_mass_overlap,0.9063752461224794,4,0.892839852720499,0.9196694307029247
hotpotqa,0,0,0,local,32,4,content_vs_punctuation,jaccard,0.9812500000000001,4,0.975,0.99375
hotpotqa,0,0,0,local,32,4,content_vs_punctuation,js_similarity,0.9913353595450219,4,0.9866147493875064,0.9948181255176813
hotpotqa,0,0,0,local,32,4,content_vs_punctuation,spearman,0.9802783433306792,4,0.9700002534279614,0.9878394173725441
hotpotqa,0,0,0,local,32,4,content_vs_punctuation,top_mass_overlap,0.9299911223351955,4,0.9232198930811137,0.9339514076709747
hotpotqa,0,0,0,local,32,4,content_vs_question,jaccard,0.9818181818181818,4,0.9454545454545454,1.0
hotpotqa,0,0,0,local,32,4,content_vs_question,js_similarity,0.9866729974370148,4,0.9788426840801508,0.993183424027165
hotpotqa,0,0,0,local,32,4,content_vs_question,spearman,0.9800938029474613,4,0.9702355764515429,0.9912062933176715
hotpotqa,0,0,0,local,32,4,content_vs_question,top_mass_overlap,0.9139442363471696,4,0.8928007086118063,0.9320575435053218
hotpotqa,0,0,0,local,32,4,fixed,jaccard,0.91875,4,0.8624999999999998,0.975
hotpotqa,0,0,0,local,32,4,fixed,js_similarity,0.9629028347156074,4,0.9519149761212231,0.9738906933099917
hotpotqa,0,0,0,local,32,4,fixed,spearman,0.943589333323472,4,0.9352823083288604,0.9495279845616555
hotpotqa,0,0,0,local,32,4,fixed,top_mass_overlap,0.8949699718505144,4,0.8743264432996511,0.9151147231459618
hotpotqa,0,0,0,local,32,4,fixed_shared,retained_mass,0.9569904028028128,4,0.9538568114267812,0.9601239941788442
hotpotqa,0,0,0,local,32,4,fixed_shared,retained_ratio,0.9847929841053964,4,0.9839059394299436,0.9860363969913637
hotpotqa,0,0,0,local,32,4,idf_route,evidence_recall,0.027777777777777776,4,0.0,0.08333333333333333
hotpotqa,0,0,0,local,32,4,independent,retained_mass,0.9715599100967832,4,0.9682400915492959,0.9748797286442703
hotpotqa,0,0,0,local,32,4,independent_upper,evidence_recall,0.027777777777777776,4,0.0,0.08333333333333333
hotpotqa,0,0,0,local,32,4,lambda_0,coverage,0.9689404954027825,4,0.9644083106368078,0.9720531840554427
hotpotqa,0,0,0,local,32,4,lambda_0.25,coverage,0.9698559233554043,4,0.9653358592866654,0.9735381304673764
hotpotqa,0,0,0,local,32,4,lambda_0.5,coverage,0.9700997883217426,4,0.9645290843167273,0.9743220785947946
hotpotqa,0,0,0,local,32,4,lambda_0.75,coverage,0.9700839745779205,4,0.9655487883311578,0.9738352568830319
hotpotqa,0,0,0,local,32,4,lambda_1,coverage,0.9273848730364258,4,0.9047083217930274,0.9514527105392553
