coarse_category,fine_category,layer,block_index,key_start,key_end,queries,documents,attention_mass_mean,attention_mass_median,concentration_mean
content,adjective,1,71,9088,9216,32,7,0.0034045762731693685,0.003376858658157289,0.43494114745408297
content,adjective,1,72,9216,9344,32,7,0.003168055147398263,0.0031152174342423677,0.40471181459724903
content,adjective,1,73,9344,9472,32,7,0.0029585125521407463,0.0029795741429552436,0.3779273619875312
content,adjective,1,74,9472,9600,32,7,0.002938285357231507,0.0028703550342470407,0.37533756671473384
content,adjective,1,75,9600,9728,32,7,0.003165954571159091,0.0030834610806778073,0.40448842756450176
content,adjective,1,76,9728,9856,32,7,0.003981626883614808,0.004013847094029188,0.508637280203402
content,adjective,1,77,9856,9984,32,7,0.0065403157932450995,0.006327121751382947,0.8354715276509523
content,adjective,1,78,9984,10112,32,7,0.0026144845796807203,0.002476206631399691,0.3340531918220222
content,adjective,1,79,10112,10240,32,7,0.0021006954229960684,0.001991477911360562,0.26834523817524314
content,adjective,1,80,10240,10368,32,7,0.0022438638407038525,0.002252702135592699,0.28664904879406095
content,adjective,1,81,10368,10496,32,7,0.002721340009884443,0.0027755788760259748,0.3476345343515277
content,adjective,1,82,10496,10624,32,7,0.004716284209280275,0.004737072624266148,0.6024583308026195
content,adjective,1,83,10624,10752,32,7,0.0036094446331844665,0.0036160635063424706,0.46111047733575106
content,adjective,1,84,10752,10880,32,7,0.0027784353005699813,0.0028576760087162256,0.3549549803137779
content,adjective,1,85,10880,11008,32,7,0.003562598991265986,0.003586991224437952,0.4551064083352685
content,adjective,1,86,11008,11136,32,7,0.005219446429691743,0.005066225305199623,0.6667495118454099
content,adjective,1,87,11136,11264,32,7,0.005599332944257185,0.005533732241019607,0.7153729666024446
content,adjective,1,88,11264,11392,32,7,0.0031032252081786282,0.003056273562833667,0.39640378672629595
content,adjective,1,89,11392,11520,32,7,0.0035076441054116003,0.003480824176222086,0.44809941854327917
content,adjective,1,90,11520,11648,32,7,0.003079437359701842,0.00287705659866333,0.3933834689669311
content,adjective,1,91,11648,11776,32,7,0.004937087775033433,0.004748217528685927,0.6306704794988036
content,adjective,1,92,11776,11904,32,7,0.0043566205858951434,0.004325385903939605,0.5566010493785143
content,adjective,1,93,11904,12032,32,7,0.0034399632131680846,0.003274067072197795,0.4394354661926627
content,adjective,1,94,12032,12160,32,7,0.004811375809367746,0.004749853163957596,0.614598379470408
content,adjective,1,95,12160,12288,32,7,0.004261453708750196,0.004351554438471794,0.5444817217066884
content,adjective,1,96,12288,12416,32,7,0.0037431349337566644,0.0036580138839781284,0.47819451428949833
content,adjective,1,97,12416,12544,32,7,0.002754801775154192,0.002719661919400096,0.35192192159593105
content,adjective,1,98,12544,12672,32,7,0.0034232079560752027,0.0033407295122742653,0.43728132266551256
content,adjective,1,99,12672,12800,32,7,0.004264772986061871,0.004228459903970361,0.5448054661974311
content,adjective,1,100,12800,12928,32,7,0.00443760197958909,0.0044748797081410885,0.5668929563835263
content,adjective,1,101,12928,13056,32,7,0.004681549689848907,0.004693975206464529,0.5981463463976979
content,adjective,1,102,13056,13184,32,7,0.002612135787785519,0.0025968727422878146,0.33369372598826885
content,adjective,1,103,13184,13312,32,7,0.003988133234088309,0.004028293304145336,0.5093781612813473
content,adjective,1,104,13312,13440,32,7,0.006295443803537637,0.006211246829479933,0.8042867388576269
content,adjective,1,105,13440,13568,32,7,0.004517017805483192,0.0045274614822119474,0.5770293362438679
content,adjective,1,106,13568,13696,32,7,0.004855846251302864,0.004689251538366079,0.6204037666320801
content,adjective,1,107,13696,13824,32,7,0.003285325554315932,0.003207598580047488,0.41968840919435024
content,adjective,1,108,13824,13952,32,7,0.004260396170138847,0.004171817097812891,0.5441816570237279
content,adjective,1,109,13952,14080,32,7,0.004878090316196904,0.004892857978120446,0.6231680484488606
content,adjective,1,110,14080,14208,32,7,0.005480636507854797,0.005330665735527873,0.7001834716647863
content,adjective,1,111,14208,14336,32,7,0.00414639924565563,0.004018617561087012,0.5297163259238005
content,adjective,1,112,14336,14464,32,7,0.0041477935228613205,0.004025076283141971,0.5298563661053777
content,adjective,1,113,14464,14592,32,7,0.005785834619018715,0.005922163370996714,0.739092355594039
content,adjective,1,114,14592,14720,32,7,0.004359140584710985,0.004263570532202721,0.5568896066397429
content,adjective,1,115,14720,14848,32,7,0.006815503860707395,0.006756389047950506,0.8706418722867966
content,adjective,1,116,14848,14976,32,7,0.008227682730648667,0.0081821633502841,1.0510906372219324
content,adjective,1,117,14976,15104,32,7,0.006917341350344941,0.007194118341431022,0.8836021237075329
content,adjective,1,118,15104,15232,32,7,0.009906526451231912,0.010231718886643648,1.2655787523835897
content,adjective,1,119,15232,15360,32,7,0.007019430689979345,0.007072174455970526,0.8967301212251186
content,adjective,1,120,15360,15488,32,7,0.0069797097821719944,0.006946017732843757,0.8916588015854359
content,adjective,1,121,15488,15616,32,7,0.010946573544060811,0.010966699570417404,1.3983501754701138
content,adjective,1,122,15616,15744,32,7,0.01706638652831316,0.01691335905343294,2.180010374635458
