layer,block_index,content_minus_function,ci_low,ci_high,documents,ci_excludes_zero,permutation_p_value,fdr_q_value,fdr_significant_0.05,key_start,key_end
0,31,5.8922624392846254e-05,3.3275332083186635e-05,8.73996330999535e-05,8,True,0.0078125,0.14925373134328357,False,3968,4096
0,32,0.0001004806936957642,2.847980838717102e-05,0.00017926733371655652,8,True,0.03125,0.22727272727272727,False,4096,4224
0,33,6.060477028855754e-05,2.3719276466547373e-05,0.00010356983397025631,8,True,0.015625,0.16806722689075632,False,4224,4352
0,34,-4.6855323996519756e-05,-0.00010952345309731535,1.216946612269031e-05,8,False,0.21875,0.4827586206896552,False,4352,4480
0,35,2.4116915832912732e-05,-9.165482402516965e-06,5.677272384494897e-05,8,False,0.2265625,0.48986486486486486,False,4480,4608
0,36,9.91367019241905e-05,1.4556266768741741e-05,0.00019003057170517378,8,True,0.078125,0.31347962382445144,False,4608,4736
0,37,3.895842506448502e-05,-8.24554742583447e-06,9.061798626003236e-05,8,False,0.1953125,0.45454545454545453,False,4736,4864
0,38,5.733464980671914e-05,1.4182941116110112e-05,9.952195454851728e-05,8,True,0.0546875,0.2777777777777778,False,4864,4992
0,39,0.0001524945515365878,8.874219984250067e-05,0.00020798461684662655,8,True,0.015625,0.16806722689075632,False,4992,5120
0,40,0.00011893602156855653,2.2086612565859045e-05,0.00021411517416611756,8,True,0.0703125,0.30612244897959184,False,5120,5248
0,41,-6.347098306831961e-05,-0.0001539720244761267,3.035355599866379e-05,8,False,0.25,0.5186385737439222,False,5248,5376
0,42,2.9268783111263355e-05,-9.847501494411728e-06,6.881149451760891e-05,8,False,0.2578125,0.5263157894736842,False,5376,5504
0,43,3.8067335545337446e-05,4.4766540249353945e-06,7.170717008142007e-05,8,True,0.0625,0.28776978417266186,False,5504,5632
0,44,2.653558563403652e-05,-3.5071980234288735e-05,0.00011443275529626751,8,False,0.7578125,0.886654478976234,False,5632,5760
0,45,4.1619364095675656e-05,1.3851282196156528e-05,7.420978694238149e-05,8,True,0.015625,0.16806722689075632,False,5760,5888
0,46,-5.948270942347363e-05,-0.0001295379921975905,1.7831262827692257e-05,8,False,0.1875,0.4436229205175601,False,5888,6016
0,47,-0.00041115636837797947,-0.0006803411687437744,-0.00016912709216650463,8,True,0.015625,0.16806722689075632,False,6016,6144
0,48,-0.0001281966713952989,-0.0002607277884101814,1.3213894477438727e-05,8,False,0.15625,0.4106776180698152,False,6144,6272
0,49,7.575469335887816e-06,-9.563977276977509e-05,0.000108672204884078,8,False,0.8828125,0.947986577181208,False,6272,6400
0,50,0.00015140830273963752,-4.233187019147931e-05,0.0003582022560479819,8,False,0.203125,0.4626334519572954,False,6400,6528
0,51,4.859514019792718e-05,-6.76918274430434e-05,0.000150631549954882,8,False,0.4375,0.6862745098039216,False,6528,6656
0,52,-0.00015383560318784294,-0.0003066383442888882,-3.69131325573975e-05,8,True,0.0078125,0.14925373134328357,False,6656,6784
0,53,-0.0006103054437755032,-0.0012685542118849192,1.4955938501775814e-05,8,False,0.1328125,0.38288288288288286,False,6784,6912
0,54,-8.788645472243331e-05,-0.00027287485575819173,6.83013052687519e-05,8,False,0.4296875,0.6781750924784217,False,6912,7040
0,55,2.4520274931563697e-05,-2.573276478191926e-05,7.899210022765646e-05,8,False,0.4296875,0.6781750924784217,False,7040,7168
0,56,-5.2660381089225444e-05,-0.0001631982904497835,6.695884128500167e-05,8,False,0.4375,0.6862745098039216,False,7168,7296
0,57,-0.00012333633729487404,-0.0005855526363066871,0.00033741502847192277,8,False,0.640625,0.8094768015794669,False,7296,7424
0,58,0.0006318106236429622,-9.543051016921034e-06,0.0012700784402102188,8,False,0.125,0.37383177570093457,False,7424,7552
0,59,5.124020923481879e-05,-0.00014750530958677546,0.00023267246588778686,8,False,0.6171875,0.797979797979798,False,7552,7680
0,60,2.898872101544467e-05,-2.0043187146692536e-05,8.306449037170962e-05,8,False,0.3671875,0.625,False,7680,7808
0,61,-3.850099313388526e-06,-0.00020701846326509285,0.0001712686761550701,8,False,0.984375,0.9936908517350158,False,7808,7936
0,62,2.700446796803196e-05,-4.723334036345736e-05,9.755733922081703e-05,8,False,0.5078125,0.7352941176470589,False,7936,8064
0,63,9.352676688680528e-06,-2.6265480659017288e-05,4.898841292187358e-05,8,False,0.671875,0.8317214700193424,False,8064,8192
0,64,-4.430646730456899e-05,-0.00018015454740664003,0.00012163671426315578,8,False,0.6484375,0.816125860373648,False,8192,8320
0,65,4.525354945022282e-05,-0.00018146751757696416,0.0002926600954273797,8,False,0.7265625,0.8675373134328358,False,8320,8448
0,66,0.00023986631855823582,-9.722600727667e-05,0.0005443974866667366,8,False,0.21875,0.4827586206896552,False,8448,8576
0,67,4.863615855514041e-05,-2.09817695735589e-05,0.00013061657307946405,8,False,0.34375,0.6027397260273972,False,8576,8704
